Utilization Type	State	Labeler Code	Product Code	Package Size	Year	Quarter	NDC	Product Name	Units 	Prescriptions	Total Amount
FFSU	NY	574	153	30	2018	1	574015330	MORPHINE S			
MCOU	NY	65862	559	90	2018	1	65862055990	PANTOPRAZO	"39,214"	"1,193"	"10,168.07"
MCOU	NY	29300	227	5	2018	1	29300022705	METRONIDAZ	"105,215.08"	"6,406"	"36,169.94"
FFSU	NY	42543	725	10	2018	1	42543072510	FLUOXETINE			
MCOU	NY	16252	615	50	2018	1	16252061550	ROSUVASTAT	792	26	864.81
MCOU	NY	409	201	10	2018	1	409020110	DOCETAXEL			
MCOU	NY	59746	334	30	2018	1	59746033430	LOSARTAN P			
MCOU	NY	69452	111	20	2018	1	69452011120	ALPRAZOLAM			
MCOU	NY	63739	666	32	2018	1	63739066632	ZIPRASIDON			
FFSU	NY	378	7281	53	2018	1	378728153	LEVETHEST	"9,009"	99	"3,308.95"
MCOU	NY	472	478	60	2018	1	472047860	DESOXIMETA	"5,040"	81	"5,414.60"
MCOU	NY	57237	45	60	2018	1	57237004560	CLARITHROM	"64,269"	"2,806"	"90,010.17"
FFSU	NY	68001	143	3	2018	1	68001014303	RAMIPRIL C	712	21	118.9
FFSU	NY	53746	189	1	2018	1	53746018901	NAPROXEN 3	"1,178"	21	185.27
FFSU	NY	64380	742	7	2018	1	64380074207	BUSPIRONE	"11,048"	135	"1,126.60"
FFSU	NY	69	1530	68	2018	1	69153068	NORVASC (A			
MCOU	NY	61570	131	20	2018	1	61570013120	SILVADENE			
MCOU	NY	16714	734	1	2018	1	16714073401	CELECOXIB			
FFSU	NY	68180	519	1	2018	1	68180051901	LISINOPRIL	"14,617"	338	"2,326.58"
MCOU	NY	310	720	10	2018	1	310072010	FASLODEX 5	594.08	191	"749,954.65"
FFSU	NY	68682	146	1	2018	1	68682014601	ENALAPRIL-			
MCOU	NY	62175	446	1	2018	1	62175044601	PEG-3350 A	"6,825,852"	"1,698"	"13,146.18"
FFSU	NY	43598	322	30	2018	1	43598032230	AMLODIPINE			
FFSU	NY	69543	140	90	2018	1	69543014090	LOSARTAN P			
MCOU	NY	378	6113	1	2018	1	378611301	OXYCODONE			
FFSU	NY	76282	419	90	2018	1	76282041990	LISINOPRIL			
MCOU	NY	27808	114	1	2018	1	27808011401	HYDROCODON	"2,789"	76	"2,843.29"
FFSU	NY	49483	602	50	2018	1	49483060250	IBUPROFEN	"4,087"	102	666.92
MCOU	NY	135	158	7	2018	1	135015807	NICORETTE			
MCOU	NY	168	62	2	2018	1	168006202	ZINC OXIDE	"36,722.00"	613	"2,137.69"
MCOU	NY	16714	612	5	2018	1	16714061205	SERTRALINE	"54,391"	"1,689"	"5,005.03"
MCOU	NY	68180	361	9	2018	1	68180036109	FENOFIBRAT	"58,035"	"1,938"	"92,831.90"
MCOU	NY	39328	44	16	2018	1	39328004416	CYPROHEPTA	"205,006"	"1,007"	"14,651.06"
FFSU	NY	51672	1258	6	2018	1	51672125806	CLOBETASOL	675	15	"1,715.21"
FFSU	NY	42806	18	1	2018	1	42806001801	SULINDAC 1			
FFSU	NY	93	2064	6	2018	1	93206406	CILOSTAZOL	"4,086"	68	898
MCOU	NY	51285	100	88	2018	1	51285010088	TAKE ACTIO	"1,215"	"1,212"	"28,307.13"
MCOU	NY	93	7201	98	2018	1	93720198	PRAVASTATI	"45,938"	"1,486"	"12,921.46"
MCOU	NY	781	5218	1	2018	1	781521801	DESIPRAMIN	"1,290"	27	925.41
