"UTLIZATION_TYPE","STATE_NAME","LABELER_CODE","PRODUCT_CODE","PACKAGE_SIZE","NDC","YEAR_NUMBER","QUARTER","PRODUCT_NAME","PRESCRIPTIONS","TOTAL_NUMBER","UNITS"
"FFSU","NY",574,153,30,"574015330",2018,1,"MORPHINE S",,,
"MCOU","NY",65862,559,90,"65862055990",2018,1,"PANTOPRAZO",39214,1193,10168.07
"MCOU","NY",29300,227,5,"29300022705",2018,1,"METRONIDAZ",105215.08,6406,36169.94
"FFSU","NY",42543,725,10,"42543072510",2018,1,"FLUOXETINE",,,
"MCOU","NY",16252,615,50,"16252061550",2018,1,"ROSUVASTAT",792,26,864.81
"MCOU","NY",409,201,10,"409020110",2018,1,"DOCETAXEL",,,
"MCOU","NY",59746,334,30,"59746033430",2018,1,"LOSARTAN P",,,
"MCOU","NY",69452,111,20,"69452011120",2018,1,"ALPRAZOLAM",,,
"MCOU","NY",63739,666,32,"63739066632",2018,1,"ZIPRASIDON",,,
"FFSU","NY",378,7281,53,"378728153",2018,1,"LEVETHEST",9009,99,3308.95
"MCOU","NY",57237,45,60,"57237004560",2018,1,"CLARITHROM",64269,2806,90010.17
"FFSU","NY",68001,143,3,"68001014303",2018,1,"RAMIPRIL C",712,21,118.9
"FFSU","NY",53746,189,1,"53746018901",2018,1,"NAPROXEN 3",1178,21,185.27
"FFSU","NY",64380,742,7,"64380074207",2018,1,"BUSPIRONE",11048,135,1126.6
"FFSU","NY",69,1530,68,"69153068",2018,1,"NORVASC (A",,,
"MCOU","NY",61570,131,20,"61570013120",2018,1,"SILVADENE",,,
"MCOU","NY",16714,734,1,"16714073401",2018,1,"CELECOXIB",,,
"FFSU","NY",68180,519,1,"68180051901",2018,1,"LISINOPRIL",14617,338,2326.58
"MCOU","NY",310,720,10,"310072010",2018,1,"FASLODEX 5",594.08,191,749954.65
"FFSU","NY",68682,146,1,"68682014601",2018,1,"ENALAPRIL-",,,
"MCOU","NY",62175,446,1,"62175044601",2018,1,"PEG-3350 A",6825852,1698,13146.18
"FFSU","NY",43598,322,30,"43598032230",2018,1,"AMLODIPINE",,,
"MCOU","NY",378,6113,1,"378611301",2018,1,"OXYCODONE",,,
"FFSU","NY",76282,419,90,"76282041990",2018,1,"LISINOPRIL",,,
"FFSU","NY",49483,602,50,"49483060250",2018,1,"IBUPROFEN",4087,102,666.92
"MCOU","NY",135,158,7,"135015807",2018,1,"NICORETTE",,,
"MCOU","NY",168,62,2,"168006202",2018,1,"ZINC OXIDE",36722,613,2137.69
"MCOU","NY",16714,612,5,"16714061205",2018,1,"SERTRALINE",54391,1689,5005.03
"MCOU","NY",68180,361,9,"68180036109",2018,1,"FENOFIBRAT",58035,1938,92831.9
"MCOU","NY",39328,44,16,"39328004416",2018,1,"CYPROHEPTA",205006,1007,14651.06
"FFSU","NY",51672,1258,6,"51672125806",2018,1,"CLOBETASOL",675,15,1715.21
"FFSU","NY",42806,18,1,"42806001801",2018,1,"SULINDAC 1",,,
"FFSU","NY",93,2064,6,"93206406",2018,1,"CILOSTAZOL",4086,68,898
"MCOU","NY",51285,100,88,"51285010088",2018,1,"TAKE ACTIO",1215,1212,28307.13
"MCOU","NY",93,7201,98,"93720198",2018,1,"PRAVASTATI",45938,1486,12921.46
"MCOU","NY",781,5218,1,"781521801",2018,1,"DESIPRAMIN",1290,27,925.41
"MCOU","NY",68462,556,84,"68462055684",2018,1,"ALYACEN 7/",,,
"FFSU","NY",781,5794,31,"781579431",2018,1,"AMLODIPINE",,,
"FFSU","NY",36800,516,26,"36800051626",2018,1,"TUSSIN PE",,,
"FFSU","NY",65162,689,88,"65162068988",2018,1,"NITROFURAN",22054,87,28662.56
"MCOU","NY",42543,707,90,"42543070790",2018,1,"PRAMIPEXOL",1890,35,276.69
"MCOU","NY",781,5936,31,"781593631",2018,1,"CANDESARTA",,,
"FFSU","NY",378,3950,5,"378395005",2018,1,"ATORVASTAT",13019,401,3092.08
"MCOU","NY",63323,344,10,"63323034410",2018,1,"CEFTRIAXON",,,
"MCOU","NY",13107,142,5,"13107014205",2018,1,"CARVEDILOL",1794,34,65.28
"FFSU","NY",68180,352,2,"68180035202",2018,1,"SERTRALINE",67161,1942,13627.73
"FFSU","NY",378,147,5,"378014705",2018,1,"INDOMETHAC",,,
"MCOU","NY",64980,185,1,"64980018501",2018,1,"GRISEOFULV",6682,128,25060.67
"MCOU","NY",62175,261,55,"62175026155",2018,1,"NIFEDIPINE",54664,1585,20045.52
"MCOU","NY",59762,410,3,"59762041003",2018,1,"ATAZANAVIR",22010,734,760323.49
"MCOU","NY",50383,286,4,"50383028604",2018,1,"LEVOFLOXAC",4082,31,3581.5
"MCOU","NY",65862,475,5,"65862047505",2018,1,"RAMIPRIL C",,,
"FFSU","NY",54436,20,4,"54436002004",2018,1,"OTREXUP (M",,,
"FFSU","NY",76045,9,5,"76045000905",2018,1,"DILAUDID H",,,
"MCOU","NY",186,917,6,"186091706",2018,1,"PULMICORT",1106,1041,185223.84
"MCOU","NY",61314,144,15,"61314014415",2018,1,"BRIMONIDIN",2150,157,36578.29
"FFSU","NY",61314,126,10,"61314012610",2018,1,"KETOROLAC",,,
"MCOU","NY",54,292,25,"54029225",2018,1,"ESZOPICLON",2012,78,1506.43
"MCOU","NY",62011,98,1,"62011009801",2018,1,"HEALTH MAR",,,
"MCOU","NY",66869,147,30,"66869014730",2018,1,"LIPOFEN",,,
"FFSU","NY",55111,718,30,"55111071830",2018,1,"LAMOTRIGIN",1574,32,4003.14
"MCOU","NY",59746,460,30,"59746046030",2018,1,"PAROXETINE",,,
"MCOU","NY",27241,108,6,"27241010806",2018,1,"CLONIDINE",3915,54,8841.94
"FFSU","NY",62559,461,90,"62559046190",2018,1,"FENOFIBRAT",,,
"FFSU","NY",50111,787,10,"50111078710",2018,1,"AZITHROMYC",451,59,841.66
"FFSU","NY",68180,281,1,"68180028101",2018,1,"ETHAMBUTOL",1474,25,1116.5
"MCOU","NY",904,5833,48,"904583348",2018,1,"LORATADINE",47705,1783,21183.53
"MCOU","NY",68001,334,0,"68001033400",2018,1,"LISINOPRIL",974,31,73.94
"MCOU","NY",63304,622,10,"63304062210",2018,1,"ATENOLOL T",25724,766,1532.86
"MCOU","NY",68001,246,17,"68001024617",2018,1,"ONDANSETRO",4125,351,1662.6
"MCOU","NY",47781,533,72,"47781053372",2018,1,"FLUOCINONI",,,
"MCOU","NY",6,5,30,"6000530",2018,1,"BELSOMRA 5",,,
"MCOU","NY",65862,560,99,"65862056099",2018,1,"PANTOPRRAZ",198691,6231,16784.24
"FFSU","NY",59746,172,6,"59746017206",2018,1,"PREDNISONE",2435,56,515.95
"FFSU","NY",47335,894,83,"47335089483",2018,1,"CLOPIDOGRE",1050,33,236.1
"FFSU","NY",49348,981,15,"49348098115",2018,1,"SM APIRIN",1080,18,104.8
"MCOU","NY",43386,710,9,"43386071009",2018,1,"QUINAPRIL",1050,33,469.42
"FFSU","NY",59762,5009,1,"59762500901",2018,1,"CLINDAMYCI",1720,43,3236.03
"FFSU","NY",781,3210,46,"781321046",2018,1,"CEFTRIAXON",,,
"MCOU","NY",378,5305,1,"378530501",2018,1,"ZOLPIDEM T",10570,392,1054.53
"MCOU","NY",68382,33,5,"68382003305",2018,1,"DIVALPROEX",20102,315,6782.34
"FFSU","NY",121,577,8,"121057708",2018,1,"LACTULOSE",,,
"MCOU","NY",63868,338,12,"63868033812",2018,1,"ANTI DIARR",,,
"FFSU","NY",378,355,1,"378035501",2018,1,"DICLOFENAC",,,
"MCOU","NY",43386,356,10,"43386035610",2018,1,"HYDROCODON",9556,209,1482.11
"FFSU","NY",904,6290,61,"904629061",2018,1,"ATORVASTAT",919,48,314.39
"MCOU","NY",591,5555,10,"591555510",2018,1,"PROPRANOLO",14344,220,2984.39
"MCOU","NY",27241,5,6,"27241000506",2018,1,"RISPERIDON",56420,1446,8591.65
"FFSU","NY",603,6240,32,"603624032",2018,1,"TRIHEXYPHE",,,
"MCOU","NY",409,6730,13,"409673013",2018,1,"MAGNESIUM",,,
"FFSU","NY",536,1372,34,"536137234",2018,1,"NICOTINE G",,,
"FFSU","NY",70003,300,65,"70003030065",2018,1,"NITROGLYCE",,,
"MCOU","NY",70000,108,2,"70000010802",2018,1,"LDR ENEMA",,,
"FFSU","NY",61570,131,50,"61570013150",2018,1,"SILVADENE",,,
"FFSU","NY",51862,64,10,"51862006410",2018,1,"DIAZEPAM 1",,,
"MCOU","NY",76439,130,4,"76439013004",2018,1,"ALENDRONAT",116,29,85.71
"MCOU","NY",43598,316,30,"43598031630",2018,1,"AMLODIPINE",,,
"MCOU","NY",24385,106,80,"24385010680",2018,1,"ANTACID TA",2969,40,69.62
"FFSU","NY",168,407,99,"168040799",2018,1,"CICLOPIROX",,,
"FFSU","NY",228,2803,50,"228280350",2018,1,"SPIRONOLAC",7131,186,1374.1
"MCOU","NY",24385,629,78,"24385062978",2018,1,"ACETAMINOP",18057,323,792.98
"FFSU","NY",603,3590,17,"603359017",2018,1,"GILDAGIA",,,
"MCOU","NY",51079,58,20,"51079005820",2018,1,"CHLORTHALI",1335,46,748.93
"MCOU","NY",68180,352,9,"68180035209",2018,1,"SERTRALINE",24419.5,787,2789.36
"MCOU","NY",54092,191,12,"54092019112",2018,1,"PENTASA 50",197201,1094,1169150.59
"MCOU","NY",65862,62,99,"65862006299",2018,1,"METOPROLOL",69801,1241,2891.54
"MCOU","NY",57664,759,99,"57664075999",2018,1,"OLMESARTAN",,,
"FFSU","NY",93,7156,98,"93715698",2018,1,"SIMVASTATI",570,15,123.36
"MCOU","NY",51672,1323,4,"51672132304",2018,1,"CICLOPIROX",780,13,663.78
"MCOU","NY",51862,45,1,"51862004501",2018,1,"AMETHIA LO",,,
"MCOU","NY",6,3801,18,"6380118",2018,1,"MAXALT-MLT",294,24,10512.08
"MCOU","NY",378,8015,10,"378801510",2018,1,"LANSOPRAZO",,,
"MCOU","NY",904,6506,61,"904650661",2018,1,"MEMANTINE",,,
"MCOU","NY",13668,137,1,"13668013701",2018,1,"ESCITALOPR",20613,664,4426.44
"MCOU","NY",53746,642,1,"53746064201",2018,1,"FLECAINIDE",,,
"MCOU","NY",63868,47,15,"63868004715",2018,1,"CALCIUM AN",,,
"MCOU","NY",378,3351,99,"378335199",2018,1,"ESTRADIOL",88,20,1225.22
"FFSU","NY",36800,388,10,"36800038810",2018,1,"NASAL SPRA",375,11,68.23
"MCOU","NY",37205,282,26,"37205028226",2018,1,"IBUPROFEN",164208.7,1051,4709.92
"MCOU","NY",591,2605,5,"591260505",2018,1,"HYDROCODON",75278,1201,14219.5
"FFSU","NY",68382,923,86,"68382092386",2018,1,"ELETRIPTAN",,,
"MCOU","NY",172,3760,60,"172376060",2018,1,"LISINOPRIL",12330,401,749.06
"MCOU","NY",49348,182,43,"49348018243",2018,1,"SM ALLERGY",2653.2,268,1755.66
"MCOU","NY",264,7750,0,"264775000",2018,1,"LACTATED R",1044,617,1292812.13
"MCOU","NY",59011,752,4,"59011075204",2018,1,"BUTRANS (B",186,45,32386.96
"MCOU","NY",33342,240,11,"33342024011",2018,1,"METFORMIN",4560,89,395.07
"MCOU","NY",63739,251,10,"63739025110",2018,1,"VALPROIC A",,,
"FFSU","NY",781,5619,92,"781561992",2018,1,"VALSARTAN",,,
"MCOU","NY",64720,292,11,"64720029211",2018,1,"GLYBURIDE",2970,34,272.57
"FFSU","NY",378,152,10,"378015210",2018,1,"CLONIDINE",60367,946,5190.8
"FFSU","NY",69315,210,1,"69315021001",2018,1,"METHENAMIN",,,
"FFSU","NY",68001,321,4,"68001032104",2018,1,"BUPROPION",,,
"MCOU","NY",59148,37,13,"59148003713",2018,1,"REXULTI 1.",15522,519,513026.78
"MCOU","NY",67253,149,44,"67253014944",2018,1,"AMOXICILLI",,,
"MCOU","NY",57664,399,13,"57664039913",2018,1,"GLIPIZIDE",,,
"FFSU","NY",62332,54,31,"62332005431",2018,1,"CLONIDINE",9603,173,974.33
"MCOU","NY",143,9726,1,"143972601",2018,1,"TESTOSTERO",2090.59,306,20281.33
"MCOU","NY",63833,615,2,"63833061502",2018,1,"HUMATE-P L",,,
"FFSU","NY",31722,531,1,"31722053101",2018,1,"TORSEMIDE",13795,253,2670.82
"MCOU","NY",378,7100,77,"378710077",2018,1,"FENOFIBRAT",17785,574,6720.8
"MCOU","NY",603,3633,16,"603363316",2018,1,"FINASTERID",510,17,93.35
"MCOU","NY",31722,739,60,"31722073960",2018,1,"LAMIVUDINE",,,
"MCOU","NY",603,6160,28,"603616028",2018,1,"TRAZODONE",19766,553,1578.09
"MCOU","NY",27241,18,9,"27241001809",2018,1,"MONTELUKAS",8160,247,2085.62
"FFSU","NY",591,2318,19,"591231819",2018,1,"VALSARTAN",,,
"FFSU","NY",68084,562,21,"68084056221",2018,1,"CARBAMAZEP",,,
"MCOU","NY",45802,105,1,"45802010501",2018,1,"FLUTICASON",169117,10694,134985.72
"FFSU","NY",143,9740,10,"143974010",2018,1,"PREDNISONE",6817,154,1273.18
"FFSU","NY",781,5793,31,"781579331",2018,1,"AZITHROMYC",148,16,457.97
"FFSU","NY",62011,247,1,"62011024701",2018,1,"HEALTH MAR",5846,31,171.35
"FFSU","NY",69,122,1,"69012201",2018,1,"TESSALON B",,,
"FFSU","NY",187,730,30,"187073030",2018,1,"WELLBUTRIN",,,
"MCOU","NY",54,291,25,"54029125",2018,1,"ESZOPICLON",850,27,873.23
"FFSU","NY",64764,80,60,"64764008060",2018,1,"AMITIZA (L",4436,80,27042.95
"MCOU","NY",832,228,0,"832022800",2018,1,"MORPHINE S",660,13,3715.22
"MCOU","NY",378,4883,1,"378488301",2018,1,"VENLAFAXIN",,,
"MCOU","NY",904,6376,61,"904637661",2018,1,"OLANZAPINE",,,
"FFSU","NY",43547,384,50,"43547038450",2018,1,"GABAPENTIN",11923,166,1535.25
"FFSU","NY",63323,186,10,"63323018610",2018,1,"SODIUM CHL",2359,18,199.12
"MCOU","NY",67457,339,50,"67457033950",2018,1,"VANCOMYCIN",64,16,1685.72
"MCOU","NY",172,5033,60,"172503360",2018,1,"LISINOPRIL",3000,100,241.59
"FFSU","NY",16714,72,4,"16714007204",2018,1,"BACLOFEN T",5935,60,1550.63
"MCOU","NY",2,8715,1,"2871501",2018,1,"HUMULIN 70",24750,1319,360078.71
"MCOU","NY",68180,401,1,"68180040101",2018,1,"CEFPROZIL",,,
"FFSU","NY",93,4067,1,"93406701",2018,1,"PRAZOSIN 1",4414,112,2288.05
"MCOU","NY",57237,171,30,"57237017130",2018,1,"ROSUVASTAT",3891,132,5012.27
"MCOU","NY",472,1326,26,"472132626",2018,1,"HYDROCORTI",5690.8,117,939.71
"MCOU","NY",64380,752,16,"64380075216",2018,1,"METHOXSALE",,,
"FFSU","NY",60505,847,3,"60505084703",2018,1,"FLUTICASON",528,33,338.33
"MCOU","NY",63833,828,2,"63833082802",2018,1,"HAEGARDA 2",,,
"FFSU","NY",68001,322,3,"68001032203",2018,1,"BUPROPION",584,19,402.33
"FFSU","NY",591,796,1,"591079601",2018,1,"SULFASALAZ",8997.6,79,1809.9
"FFSU","NY",51079,931,20,"51079093120",2018,1,"CARVEDILOL",,,
"FFSU","NY",68180,122,2,"68180012202",2018,1,"CEPHALEXIN",21667,896,6257.02
"FFSU","NY",555,484,2,"555048402",2018,1,"LEUCOVORIN",,,
"MCOU","NY",115,1524,1,"115152401",2018,1,"URSODIOL 2",2673,36,3915.96
"FFSU","NY",904,6341,61,"904634161",2018,1,"METOPROLOL",,,
"FFSU","NY",54,244,25,"54024425",2018,1,"CODEINE SU",,,
"MCOU","NY",55111,399,5,"55111039905",2018,1,"LANSOPRAZO",10224,340,5338.67
"MCOU","NY",68180,590,1,"68180059001",2018,1,"RAMIPRIL 5",56203,1709,5243.89
"FFSU","NY",17478,763,6,"17478076306",2018,1,"DROBABINOL",,,
"FFSU","NY",57237,169,90,"57237016990",2018,1,"ROSUVASTAT",2643,79,914.43
"MCOU","NY",16714,660,1,"16714066001",2018,1,"OMEGA3 ACI",8700,87,6299.6
"FFSU","NY",168,432,24,"168043224",2018,1,"IMIQUIMOD",240,14,328.4
"FFSU","NY",472,1738,3,"472173803",2018,1,"MICONAZOLE",99,29,1529.85
"MCOU","NY",16714,683,2,"16714068302",2018,1,"SIMVASTATI",7727,252,534.99
"FFSU","NY",63868,2,14,"63868000214",2018,1,"NATURALAX",,,
"FFSU","NY",78,341,61,"78034161",2018,1,"SANDOSTATI",,,
"FFSU","NY",115,1526,8,"115152608",2018,1,"LAMOTRIGIN",,,
"FFSU","NY",18860,121,1,"18860012101",2018,1,"VERSACLOZ",,,
"MCOU","NY",406,8380,62,"406838062",2018,1,"MORPHINE S",,,
"FFSU","NY",93,50,1,"93005001",2018,1,"ACETAMINOP",740,20,213.55
"MCOU","NY",406,9050,76,"406905076",2018,1,"FENTANYL T",3885,387,23167.89
"FFSU","NY",67877,216,60,"67877021660",2018,1,"CEFUROXIME",932,62,1335.55
"FFSU","NY",63402,302,30,"63402030230",2018,1,"LATUDA (LU",8912,307,353978.29
"MCOU","NY",430,979,3,"430097903",2018,1,"ATELVIA DR",15,15,3692.22
"MCOU","NY",68382,139,5,"68382013905",2018,1,"TOPIRAMATE",126883,2147,15090.71
"MCOU","NY",64764,125,30,"64764012530",2018,1,"NESINA 12.",,,
"FFSU","NY",57237,24,1,"57237002401",2018,1,"GLYBURIDE",,,
"MCOU","NY",51079,121,1,"51079012101",2018,1,"LANSOPRAZO",,,
"MCOU","NY",597,185,90,"597018590",2018,1,"MIRAPEX 0.",,,
"MCOU","NY",781,5583,15,"781558315",2018,1,"ALTAVERA 0",31528,1124,13349.9
"MCOU","NY",43068,104,2,"43068010402",2018,1,"FANAPT 4MG",1699,41,30299.27
"FFSU","NY",61703,332,18,"61703033218",2018,1,"BLEOMYCIN",,,
"FFSU","NY",115,1662,2,"115166202",2018,1,"PROPRANOLO",10185,85,4160.44
"FFSU","NY",378,228,93,"378022893",2018,1,"PIOGLITAZO",1050,27,316
"FFSU","NY",93,670,5,"93067005",2018,1,"GEMFIBROZI",14733,248,2609.6
"FFSU","NY",62756,521,88,"62756052188",2018,1,"SUMATRIPTA",134,15,144.08
"FFSU","NY",93,784,6,"93078406",2018,1,"TAMOXIFEN",,,
"MCOU","NY",574,2020,7,"574202007",2018,1,"COLOCORT",75420,55,5738.1
"FFSU","NY",45802,732,30,"45802073230",2018,1,"ACETAMINOP",2549,123,1304.32
"MCOU","NY",36800,328,30,"36800032830",2018,1,"SORE THROA",,,
"FFSU","NY",47335,903,18,"47335090318",2018,1,"QUETIAPINE",1907,34,286.84
"MCOU","NY",904,6341,61,"904634161",2018,1,"METOPROLOL",,,
"MCOU","NY",62756,446,2,"62756044602",2018,1,"CARISOPROD",960,12,76.1
"MCOU","NY",27241,7,12,"27241000712",2018,1,"LEVETIRACE",,,
"MCOU","NY",68382,53,10,"68382005310",2018,1,"WARFARIN S",,,
"MCOU","NY",113,622,64,"113062264",2018,1,"EXTRA STRE",,,
"FFSU","NY",245,360,30,"245036030",2018,1,"KLOR-CON O",,,
"MCOU","NY",63304,191,30,"63304019130",2018,1,"DESVENLAFA",1549,52,7293.4
"MCOU","NY",832,513,0,"832051300",2018,1,"BETHANECHO",1261,17,1037.46
"MCOU","NY",50383,62,12,"50383006212",2018,1,"GUAIFENESI",,,
"MCOU","NY",44567,236,10,"44567023610",2018,1,"CEFTAZIDIM",,,
"FFSU","NY",93,5419,1,"93541901",2018,1,"CLOZAPINE",2542,31,14788.55
"FFSU","NY",51862,273,1,"51862027301",2018,1,"CLOZAPINE",2035,33,1945.5
"FFSU","NY",68382,36,10,"68382003610",2018,1,"VENLAFAXIN",2743,89,1046.88
"FFSU","NY",93,149,5,"93014905",2018,1,"NAPROXEN T",2699.33,59,377.53
"MCOU","NY",603,5168,21,"603516821",2018,1,"PHENOBARBI",6736,146,4695.51
"MCOU","NY",51079,890,19,"51079089019",2018,1,"RIFAMPIN 3",,,
"FFSU","NY",16714,509,1,"16714050901",2018,1,"OMEPRAZOLE",,,
"FFSU","NY",259,1610,1,"259161001",2018,1,"XEOMIN",10225,50,53127.88
"FFSU","NY",13107,21,1,"13107002101",2018,1,"HYDROCODON",,,
"FFSU","NY",68462,105,30,"68462010530",2018,1,"ONDANSETRO",8082,353,2516.68
"MCOU","NY",904,5551,59,"904555159",2018,1,"BANOPHEN 2",25615,621,57233.64
"FFSU","NY",50742,315,50,"50742031550",2018,1,"BETAMETHAS",,,
"MCOU","NY",51672,1304,6,"51672130406",2018,1,"TERCONAZOL",412277,9149,205086.96
"MCOU","NY",65862,933,30,"65862093330",2018,1,"NEVIRAPINE",1230,41,17361.6
"FFSU","NY",781,7287,50,"781728750",2018,1,"CLINDAMY/B",42,41,7666.61
"MCOU","NY",68382,702,1,"68382070201",2018,1,"POTTASSIUM",610,15,200.35
"MCOU","NY",93,5517,98,"93551798",2018,1,"SILDENAFIL",4998,65,26926.05
"MCOU","NY",603,6343,28,"603634328",2018,1,"VALSARTAN",,,
"FFSU","NY",50383,700,16,"50383070016",2018,1,"FLUTICASON",43760,2723,28859.66
"MCOU","NY",61314,656,25,"61314065625",2018,1,"CIPROFLOXA",1327.5,469,2516.17
"MCOU","NY",378,7105,1,"378710501",2018,1,"OXYCODONE",,,
"MCOU","NY",37205,968,58,"37205096858",2018,1,"NICOTINE G",,,
"MCOU","NY",93,5030,56,"93503056",2018,1,"TIAGABINE",2100,28,11089.74
"MCOU","NY",42192,320,30,"42192032030",2018,1,"PNV - SELE",,,
"MCOU","NY",59746,457,30,"59746045730",2018,1,"PAROXETINE",,,
"FFSU","NY",63323,126,0,"63323012600",2018,1,"GEMCITABIN",309,55,1787.86
"FFSU","NY",603,5482,21,"603548221",2018,1,"PROPRANOLO",13378,192,2644.17
"MCOU","NY",68001,188,5,"68001018805",2018,1,"QUINAPRIL",968,31,122.23
"MCOU","NY",49483,602,50,"49483060250",2018,1,"IBUPROFEN",77957,1937,3140.01
"MCOU","NY",168,271,15,"168027115",2018,1,"MOMETASONE",6765,284,2733.21
"MCOU","NY",42806,144,48,"42806014448",2018,1,"DEMECLOCYC",581,18,4741.49
"FFSU","NY",50458,642,65,"50458064265",2018,1,"TOPAMAX TA",6855,92,118935.3
"MCOU","NY",884,5493,1,"884549301",2018,1,"FUNGOID TI",,,
"FFSU","NY",173,761,0,"173076100",2018,1,"LAMICTAL X",3240,56,117840.29
"FFSU","NY",58468,1849,4,"58468184904",2018,1,"THYROGEN 0",,,
"FFSU","NY",68084,415,1,"68084041501",2018,1,"DIVALPROEX",,,
"MCOU","NY",62175,892,41,"62175089241",2018,1,"ATORVASTAT",150980,5018,50623.51
"FFSU","NY",68180,324,1,"68180032401",2018,1,"ESZOPICLON",,,
"MCOU","NY",67877,538,7,"67877053807",2018,1,"TEMOZOLOMI",,,
"MCOU","NY",135,510,7,"135051007",2018,1,"NICORETTE",,,
"MCOU","NY",63459,412,30,"63459041230",2018,1,"GABITRIL 1",,,
"MCOU","NY",68645,459,70,"68645045970",2018,1,"ATORVASTAT",,,
"FFSU","NY",43547,397,11,"43547039711",2018,1,"HYDROCHLOR",,,
"MCOU","NY",781,4066,15,"781406615",2018,1,"ISIBLOOM 0",2660,95,1176.47
"MCOU","NY",13107,157,30,"13107015730",2018,1,"PAROXETINE",13429,444,2070.31
"FFSU","NY",60505,2579,9,"60505257909",2018,1,"ATORVASTAT",49396,1402,11780.7
"FFSU","NY",591,3798,30,"591379830",2018,1,"IPRATROPIU",20182.5,114,1639.87
"FFSU","NY",57237,207,90,"57237020790",2018,1,"LOSARTAN P",,,
"MCOU","NY",55111,293,9,"55111029309",2018,1,"SUMATRIPTA",18605,2047,13896.69
"FFSU","NY",603,5763,28,"603576328",2018,1,"SPIRONOLAC",2012,55,408.44
"FFSU","NY",67877,288,90,"67877028890",2018,1,"FINASTERID",,,
"MCOU","NY",64720,135,10,"64720013510",2018,1,"MIXED AMPH",34200,648,21302.53
"MCOU","NY",54458,889,10,"54458088910",2018,1,"CITALOPRAM",510,16,23.52
"MCOU","NY",781,5317,10,"781531710",2018,1,"ZOLPIDEM 5",39426,1479,3406.52
