"PRODUCT_NAME","Avg_Cost"
"VENTOLIN H",59750.83
"VIT D2 1.2",59720
"ERGOCALCIF",36282.33
"KETOTIFEN",33981
"ASPIRIN LO",26302.67
"PROAIR HFA",24233
".12% CHLOR",21667
"BASAGLAR",18095.5
"ASPIR-LOW",17646.67
"ARTIFICIAL",16949.89
"VITAMIN D",16403.29
"OTC IBUPRO",14876
"FLOVENT HF",12420.33
"LANTUS 3ML",11770.5
"JUNEL FE T",11406
"ASPIR 81",11232
"TRUVADA",9894.5
"SYMBICORT",9309.5
"GENVOYA",9095.5
"NUVARING (",8868.5
"ENTERIC CO",8435.42
"ALCOHOL PR",8368
"SPRINTEC T",8248.5
"ASPIR 81 (",7858.5
"APAP ORAL",7731
"SUBOXONE S",7026.67
"DOC-Q-LACE",7012.75
"DIMAPHEN D",6996.5
"NEPHPLEX R",6898.5
"LIQUITEARS",6869.75
"NOVOLOG PE",6431
"ASPIRIN EC",6218.67
"DESCOVY  2",5989
"TRIUMEQ 50",5956.5
"CIPRODEX O",5880.5
"BANOPHEN E",5677.33
"CHLORTALID",5614
"BROMPHEN M",5597
"SPIRIVA 30",5435.5
"XULANE TDS",5364
"DOCUSIL",5291
"TRI SPRINT",5246.5
"FLUTICASON",5218.96
"NORVIR (RI",5173.5
"COMBIVENT",5042.5
"GLYCOLAX 2",5000
"SENNO",4990
"GLYCOLAX 5",4914.5
"ENDOCET 10",4750
"PROCTOZONE",4648.5
"APAP PAIN/",4644.91
"KENALOG-40",4618.67
"KENALOG-10",4607
"LEVEMIR FL",4606.5
"LATANOPROS",4443.09
"NOVOLOG 10",4439
"JANUVIA 10",4434.36
"SPIRIVA RE",4316.75
"OSELTAMIVI",4187.71
"TAMIFLU OR",4166.5
"VICTOZA 6M",4138.5
"SM ALCOHOL",4092
"TOUJEO SOL",3822
"JUNEL FE 2",3800
"ADVAIR DIS",3792.63
"SF 5000 PL",3710.5
"MUPIROCIN",3678.88
"FOLIC ACID",3675.83
"MAPAP ARTH",3589.5
"BROTAPP-DM",3508
"PREZISTA 8",3506
"PANTOPRRAZ",3423.5
"ODEFSEY  (",3372.5
"RUGBY EYE",3372
"VEMLIDY 25",3340.5
"ROBAFEN DM",3339.7
"PREZCOBIX",3261
"SILTUSSIN-",3228
"CPL HC CRE",3205.5
"SENNA LAX",3170.25
"OSELTAMAVI",3167.83
"ASPIRIN-CH",3038.5
"CARAFATE S",2986
"LIDOCAINE/",2983.13
"MELOXICAM,",2949.25
"LORATADINE",2947.37
"INCRUSE EL",2947.33
"ZOLPIDEM 1",2893.47
"AMMONIUM L",2886.74
"CPL CLOTRI",2885.5
"NESTABS",2873
"REFRESH TE",2873
"VITAFOL-ON",2851.5
"MUCINEX 50",2847.5
"FLONASE AR",2800.67
"ATRIPLA",2797
"QVAR INHAL",2723
"BROMFED DM",2672.75
"PROVENTIL",2656.5
"JANUMET 50",2646.73
"VIENVA",2621
"ASPIRIN CH",2612
"LANTUS 10M",2583
"GAVILYTE -",2557.33
"DOCUSATE S",2530.48
"SM EYE ITC",2518
"MUCINEX 20",2496
"STOOL SOFT",2447.46
