SCHOOL NAME,Num of SAT Test Takers,Critical Reading Avg Score,Math Avg. Score,Writing Avg. Score
BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,587
FRANCIS LEWIS HIGH SCHOOL,934,468,539,467
BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489
STUYVESANT HIGH SCHOOL,832,679,735,682
MIDWOOD HIGH SCHOOL,824,478,519,476
TOTTENVILLE HIGH SCHOOL,807,462,486,470
FOREST HILLS HIGH SCHOOL,762,456,497,454
BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649
EDWARD R. MURROW HIGH SCHOOL,727,468,496,467
BAYSIDE HIGH SCHOOL,708,462,523,464
FORT HAMILTON HIGH SCHOOL,694,417,478,411
JOHN BOWNE HIGH SCHOOL,558,397,451,395
SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459
FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577
JAMES MADISON HIGH SCHOOL,518,436,475,439
ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393
HILLCREST HIGH SCHOOL,462,395,413,386
NEW UTRECHT HIGH SCHOOL,456,402,471,399
JOHN DEWEY HIGH SCHOOL,448,404,468,390
DEWITT CLINTON HIGH SCHOOL,443,419,426,410
THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442
HERBERT H. LEHMAN HIGH SCHOOL,415,412,436,393
RICHMOND HILL HIGH SCHOOL,404,382,404,368
JOHN ADAMS HIGH SCHOOL,403,391,409,392
AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423
WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412
LONG ISLAND CITY HIGH SCHOOL,392,403,420,395
NEW DORP HIGH SCHOOL,391,424,437,416
FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375
MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455
CURTIS HIGH SCHOOL,375,437,435,429
FLUSHING HIGH SCHOOL,347,393,441,382
HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428
THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411
MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384
NEWTOWN HIGH SCHOOL,320,383,440,380
TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638
PORT RICHMOND HIGH SCHOOL,271,424,438,417
ART AND DESIGN HIGH SCHOOL,270,444,441,430
MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393
HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461
BEACON HIGH SCHOOL,261,577,575,592
LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542
CLARA BARTON HIGH SCHOOL,259,425,413,413
GROVER CLEVELAND HIGH SCHOOL,241,395,420,396
HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424
SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,370
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,430,456,423
STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636
FREDERICK DOUGLASS ACADEMY,214,458,474,442
"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425
HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,382,376
HARRY S TRUMAN HIGH SCHOOL,189,386,397,368
BENJAMIN BANNEKER ACADEMY,185,471,472,448
TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380
"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420
FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494
HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525
BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550
QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406
NORMAN THOMAS HIGH SCHOOL,154,370,379,359
WASHINGTON IRVING HIGH SCHOOL,151,373,387,360
INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398
MILLENNIUM HIGH SCHOOL,144,528,553,533
PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371
NEWCOMERS HIGH SCHOOL,143,323,475,329
"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396
BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,421,411
HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380
